"","action_taken","income","debt_income_ratio","age_above_62","ethnicity","race","sex","loan_amount","loan_type","loan_purpose","property_value","occupancy_type","conforming_loan_limit","preapproval","lien_status","has_co.applicant"
"1728","Loan approved",4.77068462446567,"43%-49%","No","Unknwon","Other","Unknown",5.41610040220442,"Conventional","Home purchase",5.45958551414416,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1729","Loan denied",4.68213122712422,">60%","No","Not Hispanic or Latino","White","Male",6.52941883826223,"Conventional","Refinancing",6.57228254269401,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1730","Loan denied",7.26262860097424,"<20%","No","Unknwon","Other","Unknown",5.92692602597041,"Conventional","Home purchase",5.97888576490112,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1731","Loan denied",4.18965474202643,">60%","No","Not Hispanic or Latino","White","Female",5.61677109766657,"FHA","Home purchase",5.65248918026865,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1732","Loan approved",5.10594547390058,"36%-42%","No","Not Hispanic or Latino","Asian","Male",6.48463523563525,"Conventional","Home purchase",6.58617165485467,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1733","Loan approved",4.88280192258637,"36%-42%","No","Unknwon","Other","Unknown",6.09807428216624,"Conventional","Refinancing",6.22455842927536,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1734","Loan approved",4.07753744390572,"30%-35%","Yes","Not Hispanic or Latino","Black or African American","Female",6.00388706710654,"Conventional","Cash-out",6.48463523563525,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"1735","Loan denied",5.37989735354046,"50%-60%","No","Unknwon","Other","Unknown",6.79682371827486,"Conventional","Home purchase",7.02553831463852,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1736","Loan denied",4.17438726989564,"50%-60%","No","Not Hispanic or Latino","White","Female",5.57972982598622,"Conventional","Home purchase",5.65248918026865,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1737","Loan denied",4.83628190695148,"36%-42%","No","Not Hispanic or Latino","Black or African American","Male",5.95324333428778,"Conventional","Home purchase",6.07534603108868,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1738","Loan approved",4.76217393479776,"36%-42%","No","Hispanic or Latino","White","Male",6.28226674689601,"Conventional","Home purchase",6.31896811374643,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1739","Loan approved",5.32300997913841,"30%-35%","No","Not Hispanic or Latino","Black or African American","Male",6.58617165485467,"Conventional","Home purchase",6.80793494369993,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1740","Loan approved",5.40717177146012,"30%-35%","No","Not Hispanic or Latino","White","Male",6.69084227741856,"Conventional","Home purchase",6.75110146893676,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1741","Loan denied",5.14749447681345,"36%-42%","No","Unknwon","Other","Unknown",6.18414889093748,"Conventional","Home purchase",6.24416690066374,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1742","Loan approved",5.35185813347607,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",6.55819780281227,"Conventional","Home purchase",6.62671774924902,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1743","Loan approved",4.91265488573605,"36%-42%","No","Unknwon","Other","Male",6.31896811374643,"Conventional","Home purchase",6.37161184723186,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1744","Loan approved",5.06259503302697,"36%-42%","No","Hispanic or Latino","White","Female",4.8283137373023,"Conventional","Home improvement",5.72031177660741,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"1745","Loan approved",5.27811465923052,"43%-49%","No","Not Hispanic or Latino","White","Male",6.81892406527552,"Conventional","Home purchase",6.87212810133899,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1746","Loan approved",6.06145691892802,"20%-29%","No","Unknwon","Other","Male",6.63987583382654,"Conventional","Home purchase",6.79682371827486,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1747","Loan approved",0,"Unknown","Yes","Unknwon","Other","Female",6.75110146893676,"Conventional","Refinancing",7.57814547241947,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1748","Loan approved",0,"Unknown","Yes","Unknwon","Other","Female",6.28226674689601,"FHA","Refinancing",7.5522372875608,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1749","Loan approved",0,"Unknown","Yes","Not Hispanic or Latino","Other","Male",5.84354441703136,"FHA","Refinancing",6.72743172485086,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1750","Loan approved",0,"Unknown","Yes","Not Hispanic or Latino","White","Female",6.59987049921284,"FHA","Refinancing",7.04315991598834,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1751","Loan approved",3.78418963391826,"Unknown","Yes","Not Hispanic or Latino","Black or African American","Female",5.41610040220442,"FHA","Refinancing",6.4377516497364,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1752","Loan approved",4.04305126783455,"Unknown","Yes","Not Hispanic or Latino","Black or African American","Male",4.90527477843843,"FHA","Refinancing",5.84354441703136,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1753","Loan denied",2.94443897916644,"Unknown","Yes","Unknwon","Other","Female",6.31896811374643,"FHA","Refinancing",6.52941883826223,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1754","Loan approved",5.0998664278242,"Unknown","Yes","Not Hispanic or Latino","Black or African American","Female",5.89989735358249,"FHA","Refinancing",6.66568371778241,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1755","Loan approved",3.46573590279973,"Unknown","Yes","Not Hispanic or Latino","White","Male",4.74493212836325,"FHA","Other purpose",5.81413053182507,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1756","Loan approved",2.77258872223978,"Unknown","Yes","Not Hispanic or Latino","Black or African American","Female",5.75257263882563,"FHA","Home improvement",6.70318811324086,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1757","Loan approved",4.17438726989564,"Unknown","Yes","Unknwon","Other","Female",6.51471269087253,"FHA","Refinancing",6.86171134048073,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1758","Loan approved",3.66356164612965,"Unknown","Yes","Not Hispanic or Latino","Black or African American","Female",5.75257263882563,"FHA","Refinancing",6.52941883826223,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1759","Loan denied",4.06044301054642,"Unknown","Yes","Not Hispanic or Latino","Black or African American","Female",6.00388706710654,"FHA","Refinancing",6.52941883826223,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1760","Loan approved",4.02535169073515,"Unknown","Yes","Not Hispanic or Latino","Other","Female",5.10594547390058,"FHA","Refinancing",6.05208916892442,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1761","Loan denied",3.04452243772342,"Unknown","Yes","Not Hispanic or Latino","Other","Female",5.04342511691925,"FHA","Refinancing",5.87211778947542,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1762","Loan approved",5.68357976733868,"30%-35%","No","Not Hispanic or Latino","Other","Male",5.50125821054473,"Conventional","Home purchase",5.61677109766657,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1763","Loan denied",4.63472898822964,"Unknown","No","Unknwon","Black or African American","Unknown",6.09807428216624,"Conventional","Home purchase",6.51471269087253,"Investment property","C","Preapproval not requested","Secured by a first lien","Yes"
"1764","Loan denied",0.693147180559945,"Unknown","No","Unknwon","Black or African American","Unknown",6.00388706710654,"Conventional","Home purchase",6.51471269087253,"Investment property","C","Preapproval not requested","Secured by a first lien","Yes"
"1765","Loan approved",4.47163879336357,"Unknown","No","Not Hispanic or Latino","Black or African American","Male",5.65248918026865,"Conventional","Cash-out",6.51471269087253,"Investment property","C","Preapproval not requested","Secured by a first lien","Yes"
"1766","Loan denied",0,"<20%","No","Unknwon","Other","Female",6.18414889093748,"Conventional","Home purchase",6.48463523563525,"Investment property","C","Preapproval not requested","Secured by a first lien","Yes"
"1767","Loan approved",5.15329159449778,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",6.31896811374643,"Conventional","Refinancing",6.62671774924902,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1768","Loan denied",4.75359019110636,"36%-42%","Yes","Not Hispanic or Latino","Black or African American","Male",6.00388706710654,"Conventional","Cash-out",6.87212810133899,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1769","Loan approved",4.80402104473326,"20%-29%","No","Unknwon","Other","Unknown",5.72031177660741,"Conventional","Home purchase",5.95324333428778,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1770","Loan approved",4.40671924726425,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",5.45958551414416,"Conventional","Home purchase",5.81413053182507,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1771","Loan denied",3.98898404656427,">60%","No","Not Hispanic or Latino","Black or African American","Male",5.68697535633982,"FHA","Cash-out",5.89989735358249,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1772","Loan denied",6.21660610108486,"<20%","No","Not Hispanic or Latino","Other","Male",5.78382518232974,"Conventional","Refinancing",6.63987583382654,"Second residence","C","Preapproval not requested","Secured by a first lien","No"
"1773","Loan denied",5.80814248998044,"43%-49%","No","Hispanic or Latino","White","Male",6.90274273715859,"Conventional","Refinancing",7.60339933974067,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1774","Loan approved",3.97029191355212,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.50125821054473,"Conventional","Cash-out",5.89989735358249,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1775","Loan approved",5.15329159449778,"<20%","No","Not Hispanic or Latino","Asian","Female",5.22035582507832,"Conventional","Cash-out",6.40522845803084,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1776","Loan approved",5.01063529409626,"36%-42%","Yes","Not Hispanic or Latino","Black or African American","Male",6.12029741895095,"Conventional","Home purchase",6.33682573114644,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1777","Loan denied",3.97029191355212,"36%-42%","No","Not Hispanic or Latino","Black or African American","Male",5.04342511691925,"FHA","Cash-out",5.32300997913841,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1778","Loan denied",3.3322045101752,">60%","Yes","Not Hispanic or Latino","Black or African American","Female",4.65396035015752,"Conventional","Cash-out",7.12689080889881,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1779","Loan approved",4.31748811353631,"43%-49%","No","Not Hispanic or Latino","White","Male",5.75257263882563,"Conventional","Home purchase",5.97888576490112,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1780","Loan denied",4.02535169073515,">60%","Yes","Not Hispanic or Latino","Black or African American","Female",5.92692602597041,"FHA","Cash-out",6.20455776256869,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1781","Loan approved",5.00394630594546,"30%-35%","No","Not Hispanic or Latino","White","Male",5.61677109766657,"Conventional","Home purchase",5.68697535633982,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1782","Loan denied",4.39444915467244,"50%-60%","No","Not Hispanic or Latino","Black or African American","Female",6.05208916892442,"FHA","Cash-out",6.26339826259162,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1783","Loan approved",4.81218435537242,"30%-35%","No","Not Hispanic or Latino","White","Female",5.89989735358249,"Conventional","Home purchase",6.30078579466324,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1784","Loan approved",4.34380542185368,"43%-49%","No","Not Hispanic or Latino","Asian","Female",5.61677109766657,"Conventional","Home purchase",6.05208916892442,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1785","Loan approved",4.30406509320417,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.72031177660741,"FHA","Home purchase",6.05208916892442,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1786","Loan approved",5.68697535633982,"30%-35%","No","Not Hispanic or Latino","White","Female",6.49978704065585,"Conventional","Home purchase",6.66568371778241,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1787","Loan approved",4.52178857704904,"20%-29%","Yes","Not Hispanic or Latino","Black or African American","Female",4.00733318523247,"Conventional","Cash-out",6.24416690066374,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"1788","Loan denied",3.71357206670431,"50%-60%","No","Hispanic or Latino","Other","Male",5.22035582507832,"FHA","Cash-out",6.05208916892442,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1789","Loan approved",5.28826703069454,"20%-29%","No","Unknwon","Other","Unknown",5.65248918026865,"Conventional","Home purchase",6.28226674689601,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1790","Loan approved",4.59511985013459,"43%-49%","No","Not Hispanic or Latino","White","Female",6.14203740558736,"Conventional","Home purchase",6.65286302935335,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1791","Loan denied",4.90527477843843,"20%-29%","Yes","Not Hispanic or Latino","Other","Female",4.97673374242057,"Conventional","Cash-out",6.61338421837956,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"1792","Loan denied",4.43081679884331,"43%-49%","No","Not Hispanic or Latino","Asian","Female",5.68697535633982,"Conventional","Home purchase",5.89989735358249,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1793","Loan denied",4.06044301054642,"20%-29%","Yes","Not Hispanic or Latino","Black or African American","Female",4.00733318523247,"Conventional","Cash-out",6.05208916892442,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"1794","Loan approved",5.5834963087817,"20%-29%","No","Not Hispanic or Latino","White","Female",6.18414889093748,"Conventional","Home purchase",6.46925031679577,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1795","Loan denied",3.63758615972639,">60%","Yes","Not Hispanic or Latino","Black or African American","Female",5.37063802812766,"FHA","Cash-out",6.46925031679577,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1796","Loan approved",5.39362754635236,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",6.28226674689601,"Conventional","Home purchase",6.33682573114644,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1797","Loan approved",6.08221891037645,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",6.9985096422506,"Conventional","Home purchase",7.05185562295589,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1798","Loan denied",4.11087386417331,">60%","Yes","Unknwon","Other","Female",6.14203740558736,"FHA","Cash-out",6.54391184556479,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1799","Loan approved",4.82028156560504,"43%-49%","No","Unknwon","Other","Female",6.22455842927536,"Conventional","Home purchase",6.51471269087253,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"1800","Loan approved",4.70048036579242,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",6.16331480403464,"FHA","Home purchase",6.18414889093748,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1801","Loan approved",5.00394630594546,"50%-60%","No","Unknwon","Other","Unknown",6.46925031679577,"FHA","Home purchase",6.49978704065585,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1802","Loan approved",4.61512051684126,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",6.20455776256869,"Conventional","Home purchase",6.4377516497364,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1803","Loan approved",5.15905529921453,"43%-49%","No","Not Hispanic or Latino","White","Male",6.05208916892442,"Conventional","Home purchase",6.28226674689601,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1804","Loan approved",5.59098698051086,"43%-49%","Yes","Not Hispanic or Latino","White","Male",6.91274282049318,"Conventional","Home purchase",7.57814547241947,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1805","Loan approved",4.61512051684126,"36%-42%","No","Not Hispanic or Latino","White","Female",6.0282785202307,"Conventional","Home purchase",6.18414889093748,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1806","Loan denied",4.66343909411207,"43%-49%","No","Unknwon","Other","Female",5.81413053182507,"FHA","Cash-out",6.09807428216624,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1807","Loan approved",4.51085950651685,"30%-35%","No","Not Hispanic or Latino","White","Male",5.27299955856375,"Conventional","Home purchase",5.45958551414416,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1808","Loan approved",5.8111409929767,"36%-42%","No","Not Hispanic or Latino","White","Male",6.88243747099785,"VA","Home purchase",6.88243747099785,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1809","Loan approved",5.7037824746562,"43%-49%","No","Hispanic or Latino","White","Male",6.42162226780652,"Conventional","Cash-out",6.65286302935335,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1810","Loan approved",4.79579054559674,"36%-42%","No","Unknwon","Other","Unknown",4.74493212836325,"Conventional","Home purchase",5.04342511691925,"Second residence","C","Preapproval not requested","Secured by a first lien","No"
"1811","Loan approved",5.89989735358249,"20%-29%","No","Not Hispanic or Latino","White","Female",6.73933662735717,"Conventional","Home purchase",6.97073007814353,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1812","Loan approved",4.43081679884331,"43%-49%","Yes","Not Hispanic or Latino","Black or African American","Male",6.09807428216624,"Conventional","Home purchase",6.26339826259162,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1813","Loan denied",4.38825718442452,">60%","No","Hispanic or Latino","White","Male",5.10594547390058,"Conventional","Home purchase",5.27299955856375,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1814","Loan approved",4.26267987704132,"50%-60%","No","Not Hispanic or Latino","Other","Female",5.75257263882563,"Conventional","Home purchase",5.97888576490112,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1815","Loan denied",4.86753445045558,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",6.37161184723186,"FHA","Cash-out",6.62671774924902,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1816","Loan denied",3.8286413964891,">60%","Yes","Not Hispanic or Latino","Black or African American","Female",6.07534603108868,"Conventional","Cash-out",6.37161184723186,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1817","Loan approved",4.44265125649032,"36%-42%","No","Not Hispanic or Latino","White","Male",4.31748811353631,"Conventional","Cash-out",6.55819780281227,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1818","Loan denied",5.04985600724954,"<20%","No","Not Hispanic or Latino","White","Female",4.31748811353631,"Conventional","Cash-out",6.62671774924902,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"1819","Loan denied",3.25809653802148,">60%","Yes","Not Hispanic or Latino","Black or African American","Female",5.04342511691925,"Conventional","Cash-out",6.80793494369993,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1820","Loan approved",3.29583686600433,"43%-49%","Yes","Not Hispanic or Latino","Black or African American","Female",4.55387689160054,"Conventional","Cash-out",4.8283137373023,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1821","Loan denied",4.17438726989564,"50%-60%","Yes","Not Hispanic or Latino","Other","Female",5.95324333428778,"FHA","Cash-out",6.90274273715859,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1822","Loan denied",3.76120011569356,">60%","Yes","Not Hispanic or Latino","Black or African American","Female",5.89989735358249,"Conventional","Cash-out",6.14203740558736,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1823","Loan approved",5.40717177146012,"36%-42%","No","Not Hispanic or Latino","White","Male",6.98933526597456,"Conventional","Home purchase",7.2115567333138,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1824","Loan approved",5.39362754635236,"43%-49%","No","Not Hispanic or Latino","White","Female",5.72031177660741,"Conventional","Home purchase",5.92692602597041,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1825","Loan approved",3.98898404656427,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.68697535633982,"FHA","Home purchase",6.00388706710654,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1826","Loan approved",5.82600010738045,"43%-49%","No","Not Hispanic or Latino","White","Male",6.88243747099785,"Conventional","Home purchase",6.93244789157251,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1827","Loan approved",5.52545293913178,"30%-35%","No","Unknwon","Other","Unknown",6.20455776256869,"Conventional","Home purchase",6.31896811374643,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1828","Loan approved",5.21493575760899,"43%-49%","No","Not Hispanic or Latino","White","Male",6.20455776256869,"Conventional","Home purchase",7.11882624906208,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1829","Loan approved",4.34380542185368,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.75257263882563,"Conventional","Home purchase",6.12029741895095,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1830","Loan approved",4.36944785246702,"43%-49%","No","Hispanic or Latino","White","Female",5.68697535633982,"Conventional","Home purchase",6.09807428216624,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1831","Loan approved",5.52942908751142,"20%-29%","No","Not Hispanic or Latino","Asian","Female",6.4377516497364,"Conventional","Home purchase",6.65286302935335,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1832","Loan approved",5.03043792139244,"30%-35%","No","Not Hispanic or Latino","White","Male",6.37161184723186,"VA","Home purchase",6.65286302935335,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1833","Loan denied",4.86753445045558,"50%-60%","No","Unknwon","Other","Female",6.26339826259162,"Conventional","Home purchase",6.31896811374643,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1834","Loan approved",4.55387689160054,"43%-49%","No","Not Hispanic or Latino","White","Female",6.07534603108868,"Conventional","Home purchase",6.26339826259162,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1835","Loan approved",4.77912349311153,"30%-35%","No","Hispanic or Latino","White","Female",5.81413053182507,"Conventional","Home purchase",5.97888576490112,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1836","Loan denied",3.55534806148941,">60%","Yes","Unknwon","White","Female",5.50125821054473,"FHA","Cash-out",5.87211778947542,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1837","Loan denied",4.79579054559674,"50%-60%","No","Not Hispanic or Latino","Black or African American","Female",5.89989735358249,"FHA","Cash-out",6.31896811374643,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1838","Loan denied",4.86753445045558,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",6.35437004079735,"FHA","Cash-out",6.66568371778241,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1839","Loan approved",3.68887945411394,">60%","No","Not Hispanic or Latino","White","Male",6.51471269087253,"Conventional","Home purchase",6.80793494369993,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"1840","Loan approved",5.71042701737487,"20%-29%","No","Not Hispanic or Latino","White","Male",5.57972982598622,"Conventional","Home purchase",6.14203740558736,"Second residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1841","Loan denied",4.0943445622221,"50%-60%","No","Not Hispanic or Latino","White","Male",6.51471269087253,"Conventional","Home purchase",6.80793494369993,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"1842","Loan approved",6.10255859461357,"36%-42%","No","Not Hispanic or Latino","White","Male",5.81413053182507,"Conventional","Cash-out",6.42162226780652,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"1843","Loan denied",3.85014760171006,">60%","Yes","Hispanic or Latino","Other","Female",5.65248918026865,"Conventional","Cash-out",6.38856140554563,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1844","Loan approved",5.34710753071747,"<20%","No","Not Hispanic or Latino","White","Female",5.32300997913841,"Conventional","Home purchase",6.00388706710654,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1845","Loan denied",4.54329478227,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.57972982598622,"Conventional","Home purchase",5.65248918026865,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1846","Loan approved",4.76217393479776,"20%-29%","No","Unknwon","Other","Male",5.45958551414416,"Conventional","Home purchase",5.68697535633982,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1847","Loan approved",3.78418963391826,"36%-42%","Yes","Not Hispanic or Latino","Black or African American","Female",5.32300997913841,"Conventional","Cash-out",6.38856140554563,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1848","Loan approved",4.69134788222914,"20%-29%","Yes","Not Hispanic or Latino","Black or African American","Male",4.65396035015752,"Conventional","Cash-out",5.97888576490112,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"1849","Loan approved",5.37989735354046,"36%-42%","No","Unknwon","Other","Unknown",6.48463523563525,"Conventional","Home purchase",6.59987049921284,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1850","Loan approved",5.8348107370626,"30%-35%","No","Unknwon","White","Male",6.87212810133899,"Conventional","Home purchase",7.09423484592476,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1851","Loan approved",4.21950770517611,"43%-49%","No","Unknwon","Other","Male",5.75257263882563,"VA","Home purchase",5.72031177660741,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1852","Loan approved",4.67282883446191,"30%-35%","No","Not Hispanic or Latino","White","Female",5.61677109766657,"Conventional","Home purchase",5.84354441703136,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1853","Loan denied",4.23410650459726,"50%-60%","No","Unknwon","Other","Female",5.92692602597041,"FHA","Cash-out",6.14203740558736,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1854","Loan approved",5.03043792139244,"30%-35%","No","Not Hispanic or Latino","White","Male",6.0282785202307,"Conventional","Home purchase",6.26339826259162,"Investment property","C","Preapproval not requested","Secured by a first lien","Yes"
"1855","Loan denied",4.48863636973214,"<20%","Yes","Not Hispanic or Latino","Black or African American","Male",4.17438726989564,"Conventional","Cash-out",6.58617165485467,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"1856","Loan approved",4.81218435537242,"43%-49%","No","Hispanic or Latino","White","Female",6.38856140554563,"Conventional","Home purchase",6.67834211465433,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1857","Loan approved",5.59098698051086,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",6.59987049921284,"Conventional","Home purchase",6.63987583382654,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1858","Loan approved",5.73657229747919,"30%-35%","No","Not Hispanic or Latino","White","Male",6.42162226780652,"Conventional","Home purchase",6.72743172485086,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"1859","Loan approved",6.96318998587024,"30%-35%","No","Not Hispanic or Latino","White","Male",7.68478394352278,"VA","Home purchase",7.81399567500279,"Principal residence","NC","Preapproval not requested","Secured by a first lien","No"
"1860","Loan approved",4.35670882668959,"43%-49%","No","Hispanic or Latino","White","Female",5.84354441703136,"Conventional","Home purchase",5.89989735358249,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"1861","Loan denied",4.35670882668959,"30%-35%","Yes","Not Hispanic or Latino","Other","Female",4.65396035015752,"Conventional","Cash-out",6.55819780281227,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"1862","Loan approved",4.95582705760126,"36%-42%","Yes","Not Hispanic or Latino","Black or African American","Female",6.35437004079735,"Conventional","Refinancing",6.61338421837956,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
